"customerid","customername","contactname","address","city","postalcode","country"
1,alfreds futterkiste,maria anders,obere str. 57,berlin,"12209",germany
2,ana trujillo emparedados y helados,ana trujillo,avda. de la constitución 2222,méxico d.f.,"05021",mexico
3,antonio moreno taquería,antonio moreno,mataderos 2312,méxico d.f.,"05023",mexico
4,around the horn,thomas hardy,"120 hanover sq.",london,wa1 1dp,uk
5,berglunds snabbköp,christina berglund,berguvsvägen 8,luleå,s-958 22,sweden
6,blauer see delikatessen,hanna moos,forsterstr. 57,mannheim,"68306",germany
7,blondel père et fils,frédérique citeaux,"24, place kléber",strasbourg,"67000",france
8,bólido comidas preparadas,martín sommer,"c/ araquil, 67",madrid,"28023",spain
9,bon app',laurence lebihans,"12, rue des bouchers",marseille,"13008",france
10,bottom-dollar marketse,elizabeth lincoln,"23 tsawassen blvd.",tsawassen,t2f 8m4,canada
11,b's beverages,victoria ashworth,fauntleroy circus,london,ec2 5nt,uk
12,cactus comidas para llevar,patricio simpson,cerrito 333,buenos aires,"1010",argentina
13,centro comercial moctezuma,francisco chang,sierras de granada 9993,méxico d.f.,"05022",mexico
14,chop-suey chinese,yang wang,hauptstr. 29,bern,"3012",switzerland
15,comércio mineiro,pedro afonso,"av. dos lusíadas, 23",são paulo,"05432-043",brazil
16,consolidated holdings,elizabeth brown,berkeley gardens 12 brewery,london,wx1 6lt,uk
17,drachenblut delikatessend,sven ottlieb,walserweg 21,aachen,"52066",germany
18,du monde entier,janine labrune,"67, rue des cinquante otages",nantes,"44000",france
19,eastern connection,ann devon,"35 king george",london,wx3 6fw,uk
20,ernst handel,roland mendel,kirchgasse 6,graz,"8010",austria
21,familia arquibaldo,aria cruz,"rua orós, 92",são paulo,"05442-030",brazil
22,fissa fabrica inter. salchichas s.a.,diego roel,"c/ moralzarzal, 86",madrid,"28034",spain
23,folies gourmandes,martine rancé,"184, chaussée de tournai",lille,"59000",france
24,folk och fä hb,maria larsson,åkergatan 24,bräcke,s-844 67,sweden
25,frankenversand,peter franken,berliner platz 43,münchen,"80805",germany
26,france restauration,carine schmitt,"54, rue royale",nantes,"44000",france
27,franchi s.p.a.,paolo accorti,via monte bianco 34,torino,"10100",italy
28,furia bacalhau e frutos do mar,lino rodriguez,jardim das rosas n. 32,lisboa,"1675",portugal
